id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
23880,9600, 36 months,6.62,294.76,A,A2,Walker's Service,8 years,MORTGAGE,40000.0,Not Verified,May-2013,car,rollback,6.09,Nov-1994,10,0,13363,23.6,20,f,INDIVIDUAL,4.0,0,"18383 Jonathan Square Apt. 237
Lake Brian, AL 22690"
23881,6725, 36 months,17.57,241.68,D,D4,loaner office,2 years,RENT,25000.0,Source Verified,Oct-2014,credit_card,Credit card refinancing,21.41,Apr-2011,10,0,4982,33.0,11,w,INDIVIDUAL,0.0,0,"897 Page Lane
Ryanmouth, MT 29597"
23882,6000, 36 months,16.29,211.81,D,D2,OUTSIDE SALES,3 years,MORTGAGE,62000.0,Not Verified,Jul-2014,debt_consolidation,Debt consolidation,12.49,Nov-2002,6,1,2724,45.4,11,w,INDIVIDUAL,2.0,1,"511 Emily Estates Apt. 407
Davisborough, MT 22690"
23883,15000, 36 months,7.9,469.36,A,A4,Mitchell & Company CPA,10+ years,MORTGAGE,95000.0,Not Verified,May-2013,debt_consolidation,Debt consolidation and home improvement,22.25,Jul-1982,7,0,7807,73.0,23,f,INDIVIDUAL,4.0,0,"01988 John Valley Apt. 156
Port Meganside, AK 30723"
23884,20000, 60 months,15.61,482.23,C,C3,Facilities Manager,2 years,MORTGAGE,95000.0,Source Verified,Nov-2013,debt_consolidation,Credit card payoff ,15.27,Dec-1988,12,0,19426,73.3,24,f,INDIVIDUAL,5.0,0,"043 Sarah Walk
East Mary, TN 00813"
23885,7200, 36 months,11.71,238.15,B,B3,Mt Holyoke College,< 1 year,RENT,37000.0,Not Verified,Jan-2012,debt_consolidation,pay off,12.82,May-1995,8,0,6788,79.9,32,f,INDIVIDUAL,,0,"2429 Logan Vista Suite 450
Dustinburgh, MA 70466"
23886,4325, 36 months,11.14,141.89,B,B2,3M,1 year,RENT,55900.0,Not Verified,Jul-2012,credit_card,Credit Card Refinance,29.37,Apr-2000,17,0,15766,69.5,25,f,INDIVIDUAL,0.0,0,"7180 Spencer Plains Apt. 981
Amberside, FL 05113"
23887,10000, 36 months,12.39,334.01,C,C1,Chief Writer and PR Specialist,5 years,RENT,52000.0,Not Verified,Jan-2015,debt_consolidation,Debt consolidation,15.83,Oct-2003,8,0,11526,69.0,16,f,INDIVIDUAL,0.0,0,"27745 Nicole Crossroad Suite 702
Ashleybury, MA 05113"
23888,3750, 36 months,10.16,121.29,B,B1,dfw intl airportboard,6 years,OWN,27000.0,Not Verified,Oct-2012,other,Other,22.05,Nov-2005,12,0,11456,51.1,18,f,INDIVIDUAL,1.0,0,"4265 Samuel Glen
Kellyville, MS 00813"
23889,12950, 60 months,19.24,337.65,E,E2,Court Clerk,10+ years,MORTGAGE,36000.0,Source Verified,Jan-2015,debt_consolidation,Debt consolidation,32.4,Oct-1993,8,0,17627,90.9,21,w,INDIVIDUAL,0.0,0,"592 Paul Coves
Leestad, FL 11650"
23890,19750, 60 months,23.4,561.32,E,E5,LPN ADON,9 years,OWN,45000.0,Source Verified,Oct-2013,debt_consolidation,Debt consolidation,18.32,May-1997,15,0,8583,29.5,29,f,INDIVIDUAL,0.0,0,"1915 Villanueva Street
Lynchfurt, ME 70466"
23891,28000, 60 months,17.56,704.34,D,D1,Chrysler,10+ years,MORTGAGE,80000.0,Verified,Aug-2013,home_improvement,Home improvement and debt consolidation ,12.93,Sep-1998,8,0,15334,83.8,25,f,INDIVIDUAL,3.0,0,"1175 Thomas Summit
East Robinfurt, OK 30723"
23892,14725, 36 months,17.57,529.18,D,D4,Branch Manager,10+ years,MORTGAGE,66000.0,Verified,Oct-2014,debt_consolidation,Debt consolidation,37.29,Aug-2002,16,1,23358,71.0,29,w,INDIVIDUAL,1.0,0,"3345 Delgado Road
Thomasside, FL 22690"
23893,10000, 60 months,18.24,255.25,D,D5,flight attendant,10+ years,MORTGAGE,65000.0,Verified,Oct-2014,debt_consolidation,Debt consolidation,19.28,Apr-1994,14,0,2742,19.9,40,w,INDIVIDUAL,3.0,0,"9268 Ramirez Underpass Apt. 634
Lake Erica, FL 22690"
23894,7050, 36 months,14.33,242.09,C,C1,Commercial National Bank,< 1 year,RENT,25500.0,Source Verified,Oct-2012,credit_card,Two birds with one stone,23.77,Oct-2007,3,0,12542,89.0,4,f,INDIVIDUAL,0.0,0,"07587 Petersen Mission Apt. 274
Laurenmouth, NH 00813"
23895,2500, 36 months,17.77,90.1,D,D1,,,MORTGAGE,21900.0,Verified,Mar-2013,debt_consolidation,pay off high interest loans,27.01,May-1995,6,0,3159,30.4,31,f,INDIVIDUAL,4.0,0,"52008 Jose Bridge
New Felicia, CA 00813"
23896,4000, 36 months,12.12,133.09,B,B3,SimplexGrinnell,3 years,MORTGAGE,95000.0,Source Verified,Dec-2012,debt_consolidation,Debt consolidation,13.08,Jul-1988,18,0,28162,68.7,29,w,INDIVIDUAL,4.0,0,"318 Blanchard Cape Apt. 759
Fergusonshire, NH 29597"
23897,10000, 36 months,8.67,316.47,B,B1,Service Manager 2,5 years,RENT,49000.0,Not Verified,Dec-2014,debt_consolidation,Debt consolidation,12.37,Oct-2004,10,0,5224,22.7,18,w,INDIVIDUAL,0.0,0,"9422 Elijah Spur Apt. 629
Lake Jason, MA 05113"
23898,6000, 36 months,17.57,215.63,D,D4,Technician ,1 year,RENT,72000.0,Verified,Nov-2015,debt_consolidation,Debt consolidation,14.25,Nov-2005,7,0,2004,42.6,13,f,INDIVIDUAL,0.0,0,"941 Williams Highway Apt. 958
Port Maureen, FL 48052"
23899,8800, 36 months,9.67,282.59,B,B1,business Banker,6 years,RENT,41000.0,Source Verified,Nov-2013,debt_consolidation,debt consolidation loan,17.71,Oct-2006,4,0,8151,40.8,10,w,INDIVIDUAL,0.0,0,"38869 Anthony Corners Suite 906
New Rodneyville, MI 29597"
23900,12000, 36 months,18.75,438.36,D,D3,"University of California, San Francisco",8 years,RENT,90000.0,Verified,Jun-2013,debt_consolidation,ByeByeCitibank!,23.97,Dec-1993,14,0,33768,92.8,22,w,INDIVIDUAL,0.0,0,"191 Maldonado Wall Apt. 904
Lake Karen, ID 00813"
23901,24800, 60 months,16.99,616.22,D,D3,Maintenance ,10+ years,MORTGAGE,54000.0,Source Verified,Feb-2015,debt_consolidation,Debt consolidation,29.73,Apr-1987,9,1,4125,14.6,33,f,INDIVIDUAL,0.0,1,"8887 Torres Coves
West Rachelfurt, MO 86630"
23902,33000, 60 months,15.61,795.68,D,D1,Senior Software Developer,2 years,MORTGAGE,92000.0,Verified,Aug-2014,credit_card,Credit card refinancing,17.09,Dec-1996,12,0,32654,78.7,21,w,INDIVIDUAL,2.0,0,"80724 Hansen Isle Apt. 410
Monicaside, WY 29597"
23903,4750, 36 months,12.73,159.44,C,C1,"Movietime Video, LLC",6 years,RENT,13806.0,Source Verified,May-2010,educational,Invest in my future,11.04,Oct-2002,2,0,182,18.2,7,f,INDIVIDUAL,,0,"893 Cindy Mount
Youngborough, OR 70466"
23904,20000, 36 months,14.09,684.43,B,B5,Scottsdale Healthcare,8 years,OWN,87000.0,Verified,Apr-2013,credit_card,CreditCard Payoff/Home Improvements,3.48,Mar-1997,5,0,8932,59.5,10,f,INDIVIDUAL,0.0,0,"63229 Mack Glen Suite 698
Denniston, WY 48052"
23905,18225, 36 months,19.52,672.86,D,D4,Fair Lawn Police Department,< 1 year,MORTGAGE,47000.0,Not Verified,Sep-2013,wedding,Wedding & Debt Consolidation,5.51,Dec-2008,5,0,7132,36.8,7,w,INDIVIDUAL,1.0,0,"47677 Jennifer Glens Apt. 318
South Brianmouth, ME 30723"
23906,2925, 36 months,12.99,98.55,C,C1,Sales rep.,7 years,MORTGAGE,55000.0,Not Verified,Jun-2014,debt_consolidation,Debt consolidation,11.89,Feb-1997,5,0,1732,72.2,25,w,INDIVIDUAL,4.0,0,"601 Ellen Lights Suite 965
Petertown, MO 93700"
23907,7500, 36 months,6.03,228.27,A,A1,American Sterling Ins,7 years,MORTGAGE,81000.0,Not Verified,May-2012,house,Home Improvement,6.37,Jun-1987,8,0,1688,8.4,49,f,INDIVIDUAL,5.0,0,"87785 Joshua Shoal
South Jamesborough, DC 70466"
23908,10000, 36 months,8.9,317.54,A,A5,Director of Government Affairs,2 years,MORTGAGE,170000.0,Verified,Apr-2014,credit_card,Credit card refinancing,10.75,Aug-2002,17,0,10220,15.7,29,w,INDIVIDUAL,3.0,0,"5516 Butler Causeway
Brianfurt, TN 70466"
23909,5500, 36 months,14.61,189.62,D,D1,Agnew Rincon Architects,1 year,MORTGAGE,61400.0,Not Verified,Dec-2009,other,New Year Engagement,20.38,Mar-1995,11,0,14103,58.0,21,f,INDIVIDUAL,,0,"93681 Renee Summit
South Robert, MO 48052"
23910,20125, 60 months,15.61,485.25,D,D1,Driver,10+ years,RENT,56000.0,Source Verified,Oct-2014,debt_consolidation,Debt consolidation,30.54,Nov-2001,10,0,14313,68.2,32,w,INDIVIDUAL,0.0,0,"Unit 4721 Box 6781
DPO AA 48052"
23911,10000, 36 months,7.69,311.94,A,A4,Dosimetrist,10+ years,MORTGAGE,104000.0,Not Verified,Oct-2014,home_improvement,Home improvement,14.58,Jan-1991,6,1,3910,29.0,37,w,INDIVIDUAL,3.0,1,"44102 Grant Stream Suite 264
South Matthewville, WV 70466"
23912,4800, 36 months,11.22,157.65,B,B5,Deputy Probation Officer,10+ years,MORTGAGE,80000.0,Source Verified,Dec-2015,car,Car financing,21.62,Feb-1997,13,0,21829,79.4,26,w,INDIVIDUAL,4.0,0,"603 Craig Lodge Suite 514
North Laurafort, HI 22690"
23913,20300, 60 months,13.98,472.14,C,C3,,,MORTGAGE,80000.0,Verified,May-2014,debt_consolidation,Debt consolidation,19.92,Jul-1995,17,0,5684,10.2,23,w,INDIVIDUAL,2.0,0,"22366 Lucas Mews
New Sonyabury, HI 70466"
23914,11700, 60 months,20.99,316.46,E,E4,,,MORTGAGE,46200.0,Verified,Jan-2015,debt_consolidation,Debt consolidation,27.04,Oct-2009,7,0,3197,77.0,12,w,INDIVIDUAL,2.0,0,"7628 Cruz Brook Suite 783
Katelynmouth, DC 70466"
23915,28000, 60 months,9.49,587.92,B,B2,Diabetes Sales,4 years,RENT,125000.0,Verified,Jan-2015,home_improvement,Home improvement,0.24,Jan-1996,2,0,733,2.4,19,f,INDIVIDUAL,0.0,0,"4052 Hernandez Greens
East Ronnie, UT 29597"
23916,18000, 36 months,10.99,589.22,B,B3,Application Engineer,1 year,RENT,65000.0,Not Verified,Jul-2014,credit_card,Credit card refinancing,20.76,Oct-2003,6,0,16902,91.4,15,w,INDIVIDUAL,0.0,0,"2769 Trevino Brook Apt. 959
North Laura, MD 70466"
23917,12000, 36 months,13.98,410.02,C,C3,Housekeeping Supervisor,10+ years,MORTGAGE,49000.0,Not Verified,Jul-2014,home_improvement,Home improvement,29.29,Mar-2003,18,0,11632,44.0,22,w,INDIVIDUAL,1.0,0,"Unit 4599 Box 3566
DPO AA 70466"
23918,6800, 36 months,9.91,219.13,B,B1,jetblue airways,4 years,RENT,53000.0,Source Verified,Nov-2011,major_purchase,car,2.99,Oct-2002,3,0,220,3.4,10,f,INDIVIDUAL,,0,"312 Martinez Cliff Apt. 482
New Jenniferchester, MO 29597"
23919,8000, 36 months,12.35,267.06,B,B4,Griffith company,2 years,MORTGAGE,70000.0,Source Verified,Jul-2013,debt_consolidation,Credit card,14.61,Oct-1991,9,0,14244,60.1,26,f,INDIVIDUAL,5.0,0,"66140 Ann Mews
West Sonyamouth, MI 70466"
23920,24725, 60 months,22.45,689.22,E,E5,Regional Operations Supervisor,5 years,MORTGAGE,55000.0,Verified,Mar-2014,debt_consolidation,Debt consolidation,33.01,Dec-1985,6,0,4441,96.0,23,w,INDIVIDUAL,0.0,0,"55803 Kathleen Drive
Karenstad, TX 86630"
23921,5375, 36 months,13.05,181.24,B,B5,,,RENT,19032.0,Verified,Aug-2013,debt_consolidation,debt consolidation,11.99,Dec-1997,7,0,4257,23.8,14,w,INDIVIDUAL,1.0,0,"8419 Bryan Course
Lake Christopher, SD 29597"
23922,13000, 36 months,12.12,432.54,B,B3,SFA University,9 years,MORTGAGE,46000.0,Source Verified,Apr-2013,debt_consolidation,Debt Consolidation,24.39,Jan-2004,13,0,15162,75.8,30,f,INDIVIDUAL,2.0,0,"623 Jeffrey Ridge
Munozchester, NM 30723"
23923,4750, 36 months,9.76,152.74,B,B1,"Wawa, Inc.",6 years,RENT,14000.0,Source Verified,Jul-2012,debt_consolidation,ProjectConsolidate,29.66,Jun-2007,5,0,3693,33.6,8,f,INDIVIDUAL,0.0,0,"99981 Margaret Oval Apt. 558
Mcdonaldview, CO 70466"
23924,5000, 36 months,5.42,150.8,A,A1,Department of Defense,< 1 year,RENT,53000.0,Source Verified,Aug-2011,credit_card,Debt Consolidation/Medical,11.3,Oct-2003,17,0,1426,4.3,44,f,INDIVIDUAL,,0,"3607 Jennifer Coves
Jameshaven, PA 48052"
23925,3850, 36 months,7.9,120.47,A,A4,Staff Sergeant E-5,5 years,RENT,45000.0,Source Verified,Dec-2013,credit_card,Credit Card Refinancing,15.79,Oct-2004,6,0,4235,75.6,9,f,INDIVIDUAL,0.0,0,"08556 Ball Branch
Port Benjaminmouth, AL 70466"
23926,13000, 36 months,16.99,463.43,D,D3,Graphic Artist,10+ years,RENT,41600.0,Verified,Jul-2015,debt_consolidation,Debt consolidation,34.05,Mar-2000,20,0,16643,47.1,26,w,INDIVIDUAL,0.0,0,"76857 Jacqueline Hollow
Huynhchester, MA 30723"
23927,28000, 36 months,9.17,892.61,B,B1,Assistant Controller,1 year,RENT,90750.0,Source Verified,Jun-2014,credit_card,Credit card refinancing,23.91,Mar-2001,18,0,47222,78.7,61,w,INDIVIDUAL,0.0,0,"PSC 2070, Box 6000
APO AE 70466"
23928,15000, 36 months,14.65,517.42,C,C5,General Manager,8 years,OWN,202000.0,Source Verified,Apr-2015,other,Other,20.35,Apr-1976,27,0,24959,50.2,44,f,INDIVIDUAL,1.0,0,"489 George Lake Suite 036
Port Sheila, NC 00813"
23929,17975, 60 months,18.24,458.8,D,D5,Licensed Nurse,10+ years,OWN,40000.0,Source Verified,Jul-2014,debt_consolidation,Debt consolidation,17.91,Jul-2008,13,1,8890,32.1,17,f,INDIVIDUAL,0.0,1,"PSC 5677, Box 5350
APO AE 48052"
23930,15000, 60 months,19.99,397.33,E,E4,Senior IT Consultant ,< 1 year,MORTGAGE,134550.0,Source Verified,Jun-2015,home_improvement,Home improvement,10.31,Feb-1998,9,2,7570,55.4,22,w,INDIVIDUAL,5.0,0,"874 Cory Centers
Smithside, VT 22690"
23931,15000, 36 months,19.72,555.32,D,D5,SoCal Office Technologies,9 years,RENT,58000.0,Not Verified,Mar-2013,debt_consolidation,Personal Loan,15.73,Apr-2000,9,0,13021,82.4,22,f,INDIVIDUAL,0.0,0,"5644 Kimberly Estate
Lake Crystalside, IL 29597"
23932,15000, 36 months,13.98,512.52,C,C3,Gs-14,10+ years,MORTGAGE,150000.0,Source Verified,Aug-2014,credit_card,Credit card refinancing,6.65,Jun-1995,10,0,15028,78.7,40,w,INDIVIDUAL,8.0,0,"PSC 5727, Box 2704
APO AA 00813"
23933,19650, 36 months,17.57,706.17,D,D2,Electrician/Supervisor,10+ years,MORTGAGE,56000.0,Not Verified,Apr-2014,debt_consolidation,Debt consolidation,25.38,Sep-2007,13,0,13049,63.3,14,w,INDIVIDUAL,1.0,0,"425 Emma Summit Suite 465
Jerryside, WV 30723"
23934,13600, 60 months,21.67,373.07,F,F3,,2 years,RENT,60500.0,Verified,Jan-2012,debt_consolidation,Debt Consolidation Loan,17.79,Apr-1986,13,0,27834,72.5,24,f,INDIVIDUAL,,0,"3146 David Flats
Anthonytown, RI 70466"
23935,10000, 60 months,11.99,222.4,B,B3,steam operator,10+ years,MORTGAGE,62000.0,Source Verified,Apr-2014,credit_card,Credit card refinancing,17.46,Feb-1998,12,0,10311,20.7,25,w,INDIVIDUAL,3.0,0,"5621 Craig Greens
Millerberg, TN 30723"
23936,1925, 36 months,17.86,69.46,D,D5,,,RENT,24852.0,Verified,Sep-2015,house,Home buying,14.2,Dec-2003,4,1,500,17.0,10,w,INDIVIDUAL,1.0,1,"5054 Mary Station Suite 534
North Brittany, NC 29597"
23937,3000, 36 months,8.88,95.24,B,B1,Travelers Insurance,10+ years,MORTGAGE,56000.0,Not Verified,Dec-2010,home_improvement,MCP Home Improvement Loan,20.57,Oct-1988,10,0,8308,90.3,35,f,INDIVIDUAL,,0,"89612 Clark Pine Apt. 948
Ashleyside, VA 30723"
23938,7000, 36 months,12.05,232.67,C,C1,Inventory Specialist,< 1 year,RENT,40000.0,Verified,Nov-2015,debt_consolidation,Debt consolidation,23.82,May-1996,6,0,13441,90.8,17,w,INDIVIDUAL,0.0,0,"04998 Costa Corners
Cynthiaville, KS 30723"
23939,12000, 36 months,7.89,375.43,A,A5,RN,3 years,MORTGAGE,55000.0,Not Verified,Mar-2016,debt_consolidation,Debt consolidation,8.25,Jul-1995,10,1,10520,61.9,23,w,INDIVIDUAL,3.0,0,"6669 Danielle Hills Apt. 304
Cummingston, IN 48052"
23940,35000, 60 months,16.24,855.61,C,C5,Store Director,10+ years,MORTGAGE,102000.0,Verified,Jan-2014,debt_consolidation,Debt consolidation,22.12,Sep-1993,7,0,15356,92.0,28,f,INDIVIDUAL,2.0,0,"3461 Logan Corner
Melissaburgh, IN 48052"
23941,17625, 36 months,13.35,596.84,C,C2,Custodian,2 years,OWN,42000.0,Source Verified,Jul-2014,credit_card,Credit card refinancing,11.86,Nov-1982,8,1,12928,69.1,27,f,INDIVIDUAL,2.0,1,"85006 Baker Curve
Lake Teresabury, SD 05113"
23942,10000, 36 months,6.24,305.31,A,A2,Court Reporter,10+ years,RENT,65000.0,Not Verified,Dec-2015,debt_consolidation,Debt consolidation,6.44,Jan-1983,6,0,2615,14.6,16,w,INDIVIDUAL,0.0,0,"3389 Johnson Spurs Apt. 278
Port Cheryl, AZ 30723"
23943,19350, 60 months,16.59,476.65,D,D1,Freight Rate Specialist,7 years,RENT,57628.0,Verified,Feb-2014,debt_consolidation,Debt consolidation,27.8,Nov-1979,16,0,29055,67.1,34,w,INDIVIDUAL,1.0,0,"46618 Graham Street
Lake Benjamin, IA 29597"
23944,10000, 36 months,13.11,337.47,B,B4,big field co ,10+ years,RENT,54000.0,Not Verified,Feb-2013,credit_card,credit card refinance,10.13,Feb-2002,5,0,11335,83.3,11,f,INDIVIDUAL,0.0,0,"260 Crystal Circle Apt. 643
North Virginiafort, GA 22690"
23945,29700, 60 months,15.88,720.36,C,C4,School District 11,4 years,MORTGAGE,76000.0,Source Verified,Sep-2013,debt_consolidation,Debt Consolidation,24.49,Jun-1998,11,0,38523,96.4,61,w,INDIVIDUAL,5.0,0,"50024 James Causeway Suite 551
Valenciafort, OH 70466"
23946,8000, 36 months,6.89,246.62,A,A3,Client Services Associate,< 1 year,RENT,38000.0,Verified,Nov-2015,credit_card,Credit card refinancing,5.84,Sep-1996,4,1,7947,51.3,11,w,INDIVIDUAL,0.0,1,"6088 Kaufman Land
New Ryanshire, TX 05113"
23947,5600, 36 months,10.99,183.32,B,B4,IT Project Manager/Business Analyst,< 1 year,MORTGAGE,130000.0,Source Verified,Sep-2015,debt_consolidation,Debt consolidation,18.57,Apr-2003,32,0,37535,71.1,65,w,INDIVIDUAL,1.0,0,"64835 Tony Curve
Connieville, KY 29597"
23948,35000, 60 months,16.2,854.86,C,C4,Administrator,10+ years,MORTGAGE,110866.0,Source Verified,Oct-2013,debt_consolidation,Bill Consolidation,13.92,Mar-1989,16,0,31997,38.2,37,f,INDIVIDUAL,4.0,0,"848 Freeman Points
Wendyton, PA 00813"
23949,22200, 60 months,22.11,614.53,G,G1,Stonehedge Rehab & Skilled Care Center,3 years,RENT,82000.0,Verified,Aug-2011,other,Other,3.76,Dec-2000,6,0,2113,96.0,12,f,INDIVIDUAL,,0,"0968 James Shoals Apt. 236
West Billy, OR 00813"
23950,7000, 36 months,14.47,240.85,C,C2,teacher,10+ years,RENT,51000.0,Verified,Dec-2013,debt_consolidation,cred card consolidation,9.79,Feb-1996,8,1,7198,52.2,43,f,INDIVIDUAL,0.0,1,"0476 Jasmine Divide
New Aaronside, MA 93700"
23951,2700, 36 months,13.68,91.87,C,C1,Mcoe,< 1 year,RENT,20000.0,Not Verified,Jul-2013,debt_consolidation,Debt,28.86,Oct-2006,11,0,3283,55.6,15,w,INDIVIDUAL,0.0,0,"0205 Baker Burg
Port Christyport, RI 05113"
23952,13175, 36 months,16.29,465.09,D,D2,branch supervisor,10+ years,MORTGAGE,30000.0,Verified,Oct-2014,debt_consolidation,Debt consolidation,19.12,Feb-1999,18,1,5589,26.5,38,f,INDIVIDUAL,1.0,1,"3564 Bell Haven Apt. 214
Guerreroview, MA 70466"
23953,16000, 60 months,11.12,348.84,B,B3,Holland Patent Central School,10+ years,MORTGAGE,42556.8,Not Verified,Aug-2010,debt_consolidation,Group 5,13.08,Sep-1997,13,0,13426,28.2,20,f,INDIVIDUAL,,0,"5924 Perry Walk
Heidiburgh, VT 70466"
23954,27500, 60 months,16.78,680.2,C,C5,FM Global,5 years,MORTGAGE,71300.0,Verified,Sep-2013,debt_consolidation,Debt consolidation,17.83,Nov-2000,11,0,20682,53.4,34,f,INDIVIDUAL,1.0,0,"300 Sutton Port
Taylormouth, MN 00813"
23955,18925, 60 months,15.31,453.31,C,C5,Rigger,10+ years,RENT,200000.0,Source Verified,Apr-2016,medical,Medical expenses,16.99,Oct-1986,15,0,26353,24.4,24,w,INDIVIDUAL,0.0,0,"8976 Mack Crescent Apt. 862
West Monicahaven, ND 70466"
23956,5000, 36 months,6.03,152.18,A,A1,warehouse employee,9 years,RENT,23000.0,Verified,Oct-2013,major_purchase,major purchase,12.89,Aug-1997,6,0,0,0.0,14,w,INDIVIDUAL,0.0,0,"834 Barker Streets Suite 377
Port Colleenport, OR 00813"
23957,15000, 60 months,15.61,361.67,C,C5,Exec secretary,10+ years,MORTGAGE,60000.0,Source Verified,Feb-2014,debt_consolidation,Debt consolidation,15.9,Apr-1996,8,1,10833,52.6,28,f,INDIVIDUAL,2.0,1,"61904 Travis Lakes Suite 384
Kleinchester, OK 29597"
23958,10000, 36 months,13.11,337.47,B,B4,AT&T,1 year,RENT,45000.0,Not Verified,Dec-2012,debt_consolidation,Pay off loan,16.21,Sep-1993,7,0,6449,32.6,29,f,INDIVIDUAL,4.0,0,"959 Johnny Stravenue
Margaretside, AK 70466"
23959,11400, 36 months,10.99,373.17,B,B4,Federal Officer Technician,9 years,RENT,85000.0,Not Verified,Mar-2015,debt_consolidation,Debt consolidation,7.51,Aug-1999,10,0,7797,43.1,31,f,INDIVIDUAL,2.0,0,"436 Sharon Views
Tiffanymouth, OK 00813"
23960,10000, 36 months,12.29,333.53,C,C1,,,OWN,25000.0,Source Verified,Jun-2015,debt_consolidation,Debt consolidation,15.84,Jan-2003,12,0,3325,11.6,24,f,INDIVIDUAL,0.0,0,"3090 Cowan Run Apt. 757
Davidfurt, NC 30723"
23961,30000, 36 months,15.31,1044.52,C,C2,dana motors,8 years,RENT,100000.0,Source Verified,Jan-2013,debt_consolidation,Debt consolidation,15.42,Apr-2003,21,0,29060,53.3,31,f,INDIVIDUAL,0.0,0,"30853 Alison View
Williamchester, CO 29597"
23962,15000, 36 months,17.27,536.81,C,C5,Houston ISd,5 years,MORTGAGE,43000.0,Verified,Mar-2013,debt_consolidation,Debt Consoloditation,32.34,Mar-2002,21,0,17859,49.6,31,f,INDIVIDUAL,0.0,0,"8076 Brian Garden Suite 995
North Patriciafurt, WV 48052"
23963,8500, 36 months,18.55,309.65,D,D4,Haron Construction Inc.,2 years,RENT,72000.0,Source Verified,Apr-2012,wedding,Our Dream Wedding,2.23,Jan-2007,4,0,420,12.7,7,f,INDIVIDUAL,0.0,0,"5476 Cameron Forks
South Morgan, GA 05113"
23964,25000, 60 months,21.99,690.34,E,E5,Paralegal ,1 year,MORTGAGE,75000.0,Source Verified,Nov-2014,home_improvement,Home improvement,7.82,Oct-1989,8,0,2209,22.8,42,f,INDIVIDUAL,5.0,0,"140 Ryan Creek Suite 000
Dennisburgh, OK 48052"
23965,1200, 36 months,19.52,44.31,D,D4,home depot,2 years,RENT,19000.0,Not Verified,Aug-2013,debt_consolidation,credit card consolidation,20.4,Jan-2008,12,0,3903,56.6,18,w,INDIVIDUAL,0.0,0,"2268 Joseph Station Apt. 081
Claytonside, NY 30723"
23966,14000, 60 months,19.52,367.19,E,E2,Financial rep,10+ years,RENT,52000.0,Verified,Aug-2014,credit_card,Credit card refinancing,7.99,Sep-1999,7,0,11844,80.0,13,w,INDIVIDUAL,0.0,0,"214 Hines Crossroad
South Elizabethtown, WA 93700"
23967,3400, 36 months,13.35,115.14,C,C2,Administrative Assistant,9 years,OWN,43000.0,Not Verified,Jun-2014,home_improvement,Home improvement,4.16,Oct-1996,6,2,1745,32.0,18,w,INDIVIDUAL,3.0,2,"0564 Brown Forest Apt. 475
Port Lisaberg, MO 86630"
23968,4500, 36 months,6.03,136.96,A,A1,Trendz Salon,3 years,RENT,39300.0,Not Verified,Mar-2012,car,Beth Bike,28.62,Dec-1999,11,0,9868,31.2,24,f,INDIVIDUAL,0.0,0,"6677 Brooks Burgs
East Williamtown, NE 05113"
23969,24000, 36 months,11.83,795.22,B,B3,,10+ years,OWN,150000.0,Not Verified,Dec-2009,major_purchase,Purchase,7.06,Dec-1977,10,0,346,0.7,16,f,INDIVIDUAL,,0,"6742 Hannah Square Suite 197
Beardport, WI 22690"
23970,18225, 36 months,12.12,606.38,B,B3,Logan oil tools,< 1 year,MORTGAGE,50419.0,Verified,Jan-2013,credit_card,Credit card payoff,24.01,Jan-2004,13,0,7743,50.6,35,f,INDIVIDUAL,1.0,0,"PSC 6218, Box 2264
APO AA 30723"
23971,10000, 60 months,18.39,256.07,E,E2,CSC/NASA,2 years,RENT,60000.0,Verified,Aug-2011,home_improvement,HOME IMPROV,13.86,Oct-1999,13,0,7704,25.9,39,f,INDIVIDUAL,,0,"42442 Luke Estate Suite 337
South Veronicaville, IL 22690"
23972,8300, 36 months,13.65,282.27,C,C1,Admissions Rep,8 years,MORTGAGE,49000.0,Source Verified,Mar-2014,credit_card,Credit card refinancing,29.81,May-1997,23,0,16594,38.1,30,w,INDIVIDUAL,4.0,0,"88592 Ponce Throughway Apt. 210
Jonesborough, MA 05113"
23973,15800, 36 months,12.99,532.29,C,C1,Registered Dental Assistant,1 year,RENT,45000.0,Not Verified,Sep-2014,debt_consolidation,Debt consolidation,22.03,Feb-1998,8,0,6161,29.5,19,w,INDIVIDUAL,0.0,0,"38464 Gardner Islands Suite 791
Charlesbury, DC 30723"
23974,3750, 60 months,10.0,79.68,B,B2,department of health,10+ years,RENT,24500.0,Not Verified,Mar-2011,debt_consolidation,reds on,26.55,Apr-2002,10,0,4774,26.7,13,f,INDIVIDUAL,,0,"2222 Jesus Ports
West Barry, MA 70466"
23975,10400, 60 months,14.49,244.64,C,C4,store manager,10+ years,MORTGAGE,54000.0,Source Verified,Jul-2014,debt_consolidation,Debt consolidation,27.04,Aug-1996,12,0,9286,33.8,27,f,INDIVIDUAL,1.0,0,"766 Taylor Spurs
Maryburgh, MS 29597"
23976,24000, 60 months,22.4,668.33,E,E3,Bailiff,10+ years,RENT,84000.0,Source Verified,Jan-2014,debt_consolidation,one payment,22.26,May-1999,11,0,20820,93.4,30,w,INDIVIDUAL,8.0,0,"5018 Edwards Road Suite 498
Lake Benjamin, OH 29597"
